Event ID   , Event time          , Desc ID   ,                                             Description, Object ID , Details
0          , 400120839.711924    , 69        ,                           There is internet connection!, 0         , 
1          , 400120839.735291    , 0         ,                             The application has loaded., 0         , 
2          , 400120839.777012    , 5         ,                  User changed the device's orientation., 0         , Landscape right
3          , 400120842.269167    , 32        ,                                         Variable added., 1         , 
4          , 400120842.871303    , 32        ,                                         Variable added., 2         , 
5          , 400120844.088604    , 38        ,  User warned that they are about to create a new model., 0         , 
6          , 400120845.061533    , 40        ,                               User created a new model., 0         , 
7          , 400120845.799947    , 53        ,                      User has requested to open a file., 0         , 
8          , 400120846.596129    , 1         ,      The application has been placed in the background., 0         , 
9          , 400120847.928585    , 69        ,                           There is internet connection!, 0         , 
10         , 400120847.931641    , 2         ,                       The application has been resumed., 0         , 
11         , 400120847.933916    , 57        ,                  User cancelled request to open a file., 0         , 
12         , 400120848.606798    , 5         ,                  User changed the device's orientation., 0         , Face Up
13         , 400120848.802602    , 5         ,                  User changed the device's orientation., 0         , Landscape right
14         , 400120848.884431    , 5         ,                  User changed the device's orientation., 0         , Face Up
15         , 400120849.127904    , 5         ,                  User changed the device's orientation., 0         , Landscape right
16         , 400120849.158079    , 53        ,                      User has requested to open a file., 0         , 
17         , 400120849.927557    , 1         ,      The application has been placed in the background., 0         , 
18         , 400120853.466127    , 69        ,                           There is internet connection!, 0         , 
19         , 400120853.469329    , 2         ,                       The application has been resumed., 0         , 
20         , 400120853.473446    , 56        ,                      User selected a .mdl file to open., 0         , modelbb.mdl
21         , 400120853.905428    , 71        ,                        Imported a variable from a file., 1         , Name: New Variable Type: Boxed (383;491)
22         , 400120853.905872    , 71        ,                        Imported a variable from a file., 2         , Name: New Variable Type: Boxed (419;229)
23         , 400120853.906324    , 71        ,                        Imported a variable from a file., 3         , Name: New Variable Type: Boxed (788;407)
24         , 400120853.909134    , 6         ,                     Imported a causal link from a file., 4         , Parent: New Variable (3) Child: New Variable (2) |  Polarity: + Line: Normal Time Delay: No Color: Black
25         , 400120853.909498    , 6         ,                     Imported a causal link from a file., 5         , Parent: New Variable (1) Child: New Variable (2) |  Polarity: + Line: Normal Time Delay: No Color: Black
26         , 400120854.150806    , 5         ,                  User changed the device's orientation., 0         , Face Up
27         , 400120856.542732    , 79        ,                           User began moving a variable., 2         , (415;228)
28         , 400120856.615541    , 58        ,                                  Update menu displayed., 2         , Variable
29         , 400120857.242983    , 60        ,                                    Edit menu displayed., 2         , Variable
30         , 400120857.466661    , 59        ,                                     Update menu closed., 2         , Variable
31         , 400120858.741572    , 62        ,                Edit menu closed because user cancelled., 2         , Variable
32         , 400120858.869296    , 79        ,                           User began moving a variable., 2         , (390;226)
33         , 400120858.938053    , 58        ,                                  Update menu displayed., 2         , Variable
34         , 400120859.603206    , 60        ,                                    Edit menu displayed., 2         , Variable
35         , 400120859.820199    , 59        ,                                     Update menu closed., 2         , Variable
36         , 400120860.165387    , 74        ,       User selected a new option for the variable type., 2         , Normal selected
37         , 400120860.773535    , 74        ,       User selected a new option for the variable type., 2         , Boxed selected
